% Model:              Анатомическая модель_RPG4.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 11 2025, 13:48
% Table:              Table 1 - Point Evaluation 1
% ro_skin (Ω*m)          ro_scull (Ω*m)           ro_brain (Ω*m)           Electric potential (V), Point: 1
1                        135                      1                        17.889000497927313
1.5                      135                      1                        21.34545996649495
2                        135                      1                        23.178340562800102
2.5                      135                      1                        24.03971254795593
3                        135                      1                        24.302456825089394
3.5                      135                      1                        24.191718470252326
4                        135                      1                        23.84810099315237
4.5                      135                      1                        23.359696871144024
5                        135                      1                        22.786357012838124
1                        140                      1                        18.165588667623034
1.5                      140                      1                        21.78514330787428
2                        140                      1                        23.754110655050695
2.5                      140                      1                        24.720494011297546
3                        140                      1                        25.062573130885454
3.5                      140                      1                        25.009045686144475
4                        140                      1                        24.70397938343021
4.5                      140                      1                        24.24067619473361
5                        140                      1                        23.68355933491347
1                        145                      1                        18.430921973339117
1.5                      145                      1                        22.211834478229335
2                        145                      1                        24.31505860262692
2.5                      145                      1                        25.387843966372415
3                        145                      1                        25.811690003801843
3.5                      145                      1                        25.816766871042574
4                        145                      1                        25.554424544383863
4.5                      145                      1                        25.122486249849985
5                        145                      1                        24.57883819792528
1                        150                      1                        18.68697408469321
1.5                      150                      1                        22.624850641424565
2                        150                      1                        24.861816971474028
2.5                      150                      1                        26.041316715185857
3                        150                      1                        26.54531252873724
3.5                      150                      1                        26.61436362885388
4                        150                      1                        26.39570668539372
4.5                      150                      1                        25.994042173078228
5                        150                      1                        25.473044897226117
1                        155                      1                        18.933201290057852
1.5                      155                      1                        23.026005221088234
2                        155                      1                        25.394659047596406
2.5                      155                      1                        26.68138760900338
3                        155                      1                        27.27053151323325
3.5                      155                      1                        27.402318800151733
4                        155                      1                        27.231314926783853
4.5                      155                      1                        26.861977857428556
5                        155                      1                        26.360653757095236
1                        160                      1                        19.169983223415066
1.5                      160                      1                        23.413038511758735
2                        160                      1                        25.914338633411447
2.5                      160                      1                        27.309468754289014
3                        160                      1                        27.983291183976277
3.5                      160                      1                        28.179102527017136
4                        160                      1                        28.058437550133974
4.5                      160                      1                        27.723615873612488
5                        160                      1                        27.24772780302169
1                        165                      1                        19.397791516124208
1.5                      165                      1                        23.79033383844164
2                        165                      1                        26.421365759295483
2.5                      165                      1                        27.923516939843694
3                        165                      1                        28.682379377816602
3.5                      165                      1                        28.946522713244605
4                        165                      1                        28.875220717244787
4.5                      165                      1                        28.579405647189844
5                        165                      1                        28.13082373728591
1                        170                      1                        19.61803185803651
1.5                      170                      1                        24.1558403244511
2                        170                      1                        26.914437765016984
2.5                      170                      1                        28.52353681450215
3                        170                      1                        29.370558698576275
3.5                      170                      1                        29.702722269399047
4                        170                      1                        29.6850277575313
4.5                      170                      1                        29.42780286478714
5                        170                      1                        29.00757667804595
1                        175                      1                        19.830032313571344
1.5                      175                      1                        24.510681048893318
2                        175                      1                        27.396188267610967
2.5                      175                      1                        29.11247217943182
3                        175                      1                        30.047237314092953
3.5                      175                      1                        30.44662577084499
4                        175                      1                        30.483317518630344
4.5                      175                      1                        30.266740769919892
5                        175                      1                        29.878004973132704
1                        180                      1                        20.034980325538562
1.5                      180                      1                        24.854694023218592
2                        180                      1                        27.865663083647547
2.5                      180                      1                        29.68789674282509
3                        180                      1                        30.711518644277717
3.5                      180                      1                        31.183519321367427
4                        180                      1                        31.27591705624026
4.5                      180                      1                        31.10285487789352
5                        180                      1                        30.74531161495335
