% Model:              Анатомическая модель_RPG4.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 11 2025, 13:48
% Table:              Table 1 - Point Evaluation 1
% ro_skin (Ω*m)          ro_scull (Ω*m)           ro_brain (Ω*m)           Electric potential (V), Point: 1
1.5                      405                      1                        33.96966407604246
2                        405                      1                        41.08930433875064
2.5                      405                      1                        46.81261935597014
3                        405                      1                        51.41172704350761
3.5                      405                      1                        55.097976446364186
4                        405                      1                        58.03766343695162
4.5                      405                      1                        60.361786988196855
5                        405                      1                        62.17657920473624
1                        410                      1                        25.156073902319058
1.5                      410                      1                        34.08911482033204
2                        410                      1                        41.272400440675526
2.5                      410                      1                        47.0601646027567
3                        410                      1                        51.72407197545371
3.5                      410                      1                        55.473568661105645
4                        410                      1                        58.47223988896201
4.5                      410                      1                        60.849648559811044
5                        410                      1                        62.719430954229125
1                        415                      1                        25.217038672797564
1.5                      415                      1                        34.20510781534354
2                        415                      1                        41.452120850890765
2.5                      415                      1                        47.306569169994376
3                        415                      1                        52.033623560772696
3.5                      415                      1                        55.84410400464182
4                        415                      1                        58.90290340246494
4.5                      415                      1                        61.337171927895724
5                        415                      1                        63.25477471118077
1                        420                      1                        25.276541738991426
1.5                      420                      1                        34.32065602647482
2                        420                      1                        41.62907664981806
2.5                      420                      1                        47.54770690277661
3                        420                      1                        52.33803150647661
3.5                      420                      1                        56.210247597092604
4                        420                      1                        59.3257963905389
4.5                      420                      1                        61.816759674595346
5                        420                      1                        63.785150292836164
1                        425                      1                        25.334999048781185
1.5                      425                      1                        34.433935432414955
2                        425                      1                        41.80298001849512
2.5                      425                      1                        47.78329346795138
3                        425                      1                        52.63729399179505
3.5                      425                      1                        56.571388430248135
4                        425                      1                        59.74508964458485
4.5                      425                      1                        62.290812389736715
5                        425                      1                        64.31125622315389
1                        430                      1                        25.39237199485668
1.5                      430                      1                        34.54468936765129
2                        430                      1                        41.97314231153712
2.5                      430                      1                        48.019146338207264
3                        430                      1                        52.934239742409986
3.5                      430                      1                        56.926751414513745
4                        430                      1                        60.159246277541655
4.5                      430                      1                        62.7609837708647
5                        430                      1                        64.82962321306198
1                        435                      1                        25.4486297055087
1.5                      435                      1                        34.65410226972824
2                        435                      1                        42.142420446171215
2.5                      435                      1                        48.248003918257
3                        435                      1                        53.22519353495507
3.5                      435                      1                        57.27963103455863
4                        435                      1                        60.56789175411893
4.5                      435                      1                        63.223688280705915
5                        435                      1                        65.34364115452058
1                        440                      1                        25.504027409829234
1.5                      440                      1                        34.760913432191515
2                        440                      1                        42.30716544433439
2.5                      440                      1                        48.475231365065625
3                        440                      1                        53.513380680623115
3.5                      440                      1                        57.627155900041686
4                        440                      1                        60.97352970386933
4.5                      440                      1                        63.68279404790809
5                        440                      1                        65.85264028871487
1                        445                      1                        25.55794952045136
1.5                      445                      1                        34.866381971683396
2                        445                      1                        42.471457315646035
2.5                      445                      1                        48.69767826478427
3                        445                      1                        53.79555638174112
3.5                      445                      1                        57.970267864237115
4                        445                      1                        61.37025058013842
4.5                      445                      1                        64.13245462468859
5                        445                      1                        66.35589700438425
1                        450                      1                        25.611270382899974
1.5                      450                      1                        34.970619477033196
2                        450                      1                        42.63198157245729
2.5                      450                      1                        48.918246115167406
3                        450                      1                        54.078005489117274
3.5                      450                      1                        58.30914234861777
4                        450                      1                        61.7684300501038
4.5                      450                      1                        64.5858925076437
5                        450                      1                        66.85432330058615
1                        455                      1                        25.66323165230866
1.5                      455                      1                        35.07175785756098
2                        455                      1                        42.78999842164703
2.5                      455                      1                        49.135974856638555
3                        455                      1                        54.35293196811574
3.5                      455                      1                        58.6431597056519
4                        455                      1                        62.15626779349523
4.5                      455                      1                        65.02349799792725
5                        455                      1                        67.34754974793938
1                        460                      1                        25.714526026783687
1.5                      460                      1                        35.171957245953024
2                        460                      1                        42.94554291691095
2.5                      460                      1                        49.34680043648264
3                        460                      1                        54.626776958314835
3.5                      460                      1                        58.97123764116017
4                        460                      1                        62.54535949377177
4.5                      460                      1                        65.46402213570269
5                        460                      1                        67.8353956876604
1                        465                      1                        25.765209212104565
1.5                      465                      1                        35.26997906734019
2                        465                      1                        43.098804790042195
2.5                      465                      1                        49.56003343791819
3                        465                      1                        54.89436052267773
3.5                      465                      1                        59.29936285370911
4                        465                      1                        62.921086880927874
4.5                      465                      1                        65.89709901462237
5                        465                      1                        68.31824246490476
1                        470                      1                        25.815427269697047
1.5                      470                      1                        35.367565990110705
2                        470                      1                        43.249366304753835
2.5                      470                      1                        49.76653120670086
3                        470                      1                        55.16171124776575
3.5                      470                      1                        59.62122341168862
4                        470                      1                        63.30049152155246
4.5                      470                      1                        66.32462309449096
5                        470                      1                        68.79725370305962
1                        475                      1                        25.863382029277133
1.5                      475                      1                        35.462711837714565
2                        475                      1                        43.398859219536334
2.5                      475                      1                        49.97380149154834
3                        475                      1                        55.42297853454099
3.5                      475                      1                        59.93943732451709
4                        475                      1                        63.67389084303397
4.5                      475                      1                        66.7500771539309
5                        475                      1                        69.26993478373419
1                        480                      1                        25.911641699691558
1.5                      480                      1                        35.556100104587586
2                        480                      1                        43.5442084034852
2.5                      480                      1                        50.17465896042698
3                        480                      1                        55.68166196597542
3.5                      480                      1                        60.2537458490626
4                        480                      1                        64.04395545941608
4.5                      480                      1                        67.16960067671187
5                        480                      1                        69.73871986749683
1                        485                      1                        25.958712340768315
1.5                      485                      1                        35.64903933399768
2                        485                      1                        43.6890364259785
2.5                      485                      1                        50.37512408812027
3                        485                      1                        55.936763142173916
3.5                      485                      1                        60.56407930799136
4                        485                      1                        64.40603936888564
4.5                      485                      1                        67.58486802630347
5                        485                      1                        70.20230147692732
1                        490                      1                        26.00433486818094
1.5                      490                      1                        35.73959122893346
2                        490                      1                        43.83120114119379
2.5                      490                      1                        50.57228242618693
3                        490                      1                        56.18961200601832
3.5                      490                      1                        60.87039018615607
4                        490                      1                        64.76580866956738
4.5                      490                      1                        67.99325282871871
5                        490                      1                        70.66200407063477
1                        495                      1                        26.050722060370312
1.5                      495                      1                        35.82878172676446
2                        495                      1                        43.971510920967816
2.5                      495                      1                        50.76436323720053
3                        495                      1                        56.436703065431104
3.5                      495                      1                        61.17336754239679
4                        495                      1                        65.12131162999734
4.5                      495                      1                        68.40184600582572
5                        495                      1                        71.11611771494046
1                        500                      1                        26.09482512783829
1.5                      500                      1                        35.916627686294845
2                        500                      1                        44.109018381121956
2.5                      500                      1                        50.95366329521548
3                        500                      1                        56.68272906390001
3.5                      500                      1                        61.47146061530265
4                        500                      1                        65.47505720448618
4.5                      500                      1                        68.80485764033654
5                        500                      1                        71.5661270214949
1                        40                       1.5                      10.860081756045037
1.5                      40                       1.5                      11.539380600598825
2                        40                       1.5                      11.630331721386504
2.5                      40                       1.5                      11.509418398037695
3                        40                       1.5                      11.318269106982164
3.5                      40                       1.5                      11.114740966631501
4                        40                       1.5                      10.921060977962796
4.5                      40                       1.5                      10.745847595903967
5                        40                       1.5                      10.590491242449787
1                        45                       1.5                      11.419887736699565
1.5                      45                       1.5                      12.220870716979377
2                        45                       1.5                      12.349114941980261
2.5                      45                       1.5                      12.219484386065162
3                        45                       1.5                      11.997518385690647
3.5                      45                       1.5                      11.752331014838319
4                        45                       1.5                      11.513512639919668
4.5                      45                       1.5                      11.292730372283202
5                        45                       1.5                      11.094049272283868
1                        50                       1.5                      11.960949512308183
1.5                      50                       1.5                      12.899214817484335
2                        50                       1.5                      13.080688135391888
2.5                      50                       1.5                      12.955664228107103
3                        50                       1.5                      12.712880754348689
3.5                      50                       1.5                      12.434149381571359
4                        50                       1.5                      12.153536371518356
4.5                      50                       1.5                      11.890221882147387
5                        50                       1.5                      11.649439868841242
1                        55                       1.5                      12.48261181233
1.5                      55                       1.5                      13.56952670976213
2                        55                       1.5                      13.818218363206768
2.5                      55                       1.5                      13.711101204521
3                        55                       1.5                      13.456261386467276
3.5                      55                       1.5                      13.149746435911808
4                        55                       1.5                      12.8346524180932
4.5                      55                       1.5                      12.53387784953128
5                        55                       1.5                      12.2510168030974
1                        60                       1.5                      12.983232756615472
1.5                      60                       1.5                      14.228210865174411
2                        60                       1.5                      14.554737654342993
2.5                      60                       1.5                      14.477500582228899
3                        60                       1.5                      14.222418691697953
3.5                      60                       1.5                      13.895890895154068
4                        60                       1.5                      13.550778250202825
4.5                      60                       1.5                      13.212941937790305
5                        60                       1.5                      12.892845825710879
1                        65                       1.5                      13.463252846745881
1.5                      65                       1.5                      14.872913705982974
2                        65                       1.5                      15.290039401628356
2.5                      65                       1.5                      15.252312825140677
3                        65                       1.5                      15.00441131875644
3.5                      65                       1.5                      14.664991335304862
4                        65                       1.5                      14.296074277096963
4.5                      65                       1.5                      13.927473826335927
5                        65                       1.5                      13.574897749135744
1                        70                       1.5                      13.923235161095768
1.5                      70                       1.5                      15.502241318363915
2                        70                       1.5                      16.018061098863214
2.5                      70                       1.5                      16.028468889194556
3                        70                       1.5                      15.79665766520175
3.5                      70                       1.5                      15.453196331680118
4                        70                       1.5                      15.065295756081099
4.5                      70                       1.5                      14.67026989901305
5                        70                       1.5                      14.287231694878642
1                        75                       1.5                      14.363903081782894
1.5                      75                       1.5                      16.11507586909194
2                        75                       1.5                      16.73667385413348
2.5                      75                       1.5                      16.80430889347258
3                        75                       1.5                      16.595530175628497
3.5                      75                       1.5                      16.253709494403637
4                        75                       1.5                      15.854702835031858
4.5                      75                       1.5                      15.438176028037617
5                        75                       1.5                      15.026908300366642
1                        80                       1.5                      14.785004701547884
1.5                      80                       1.5                      16.71137372067399
2                        80                       1.5                      17.444876537472645
2.5                      80                       1.5                      17.57547114895503
3                        80                       1.5                      17.399625783996242
3.5                      80                       1.5                      17.066133940974296
4                        80                       1.5                      16.659496063395522
4.5                      80                       1.5                      16.226918913883082
5                        80                       1.5                      15.792377219529527
1                        85                       1.5                      15.18841122226172
1.5                      85                       1.5                      17.290440889087144
2                        85                       1.5                      18.139400614576914
2.5                      85                       1.5                      18.343611583187595
3                        85                       1.5                      18.203328442857497
3.5                      85                       1.5                      17.884718733886714
4                        85                       1.5                      17.47640581786777
4.5                      85                       1.5                      17.03060935422043
5                        85                       1.5                      16.577859775004455
1                        90                       1.5                      15.574347255122788
1.5                      90                       1.5                      17.852172952781793
2                        90                       1.5                      18.822547073969446
2.5                      90                       1.5                      19.10206588553261
3                        90                       1.5                      19.006076566092858
3.5                      90                       1.5                      18.707803645463315
4                        90                       1.5                      18.30425766961362
4.5                      90                       1.5                      17.850609462777058
5                        90                       1.5                      17.380587402655436
1                        95                       1.5                      15.943745962920204
1.5                      95                       1.5                      18.397165531138064
2                        95                       1.5                      19.491184625660964
2.5                      95                       1.5                      19.852659393675196
3                        95                       1.5                      19.805629405742792
3.5                      95                       1.5                      19.532338314569145
4                        95                       1.5                      19.138011559675604
4.5                      95                       1.5                      18.681104943764154
5                        95                       1.5                      18.198450297344877
1                        100                      1.5                      16.297445766448483
1.5                      100                      1.5                      18.925256490564983
2                        100                      1.5                      20.145943977392577
2.5                      100                      1.5                      20.59222649835222
3                        100                      1.5                      20.600164446656862
3.5                      100                      1.5                      20.356926826818807
4                        100                      1.5                      19.97395240158795
4.5                      100                      1.5                      19.51942064612203
5                        100                      1.5                      19.02899030539956
1                        105                      1.5                      16.63677365308144
1.5                      105                      1.5                      19.437290521524453
2                        105                      1.5                      20.78603707377782
2.5                      105                      1.5                      21.32160943650075
3                        105                      1.5                      21.38724583670394
3.5                      105                      1.5                      21.179810374275476
4                        105                      1.5                      20.815181939116215
4.5                      105                      1.5                      20.36410426114314
5                        105                      1.5                      19.870695732020266
1                        110                      1.5                      16.961863956158062
1.5                      110                      1.5                      19.933259035480255
2                        110                      1.5                      21.412406793187316
2.5                      110                      1.5                      22.03892796888627
3                        110                      1.5                      22.166944589019153
3.5                      110                      1.5                      21.99957095013528
4                        110                      1.5                      21.656127772388302
4.5                      110                      1.5                      21.21377322902846
5                        110                      1.5                      20.71818416265988
1                        115                      1.5                      17.274436206468877
1.5                      115                      1.5                      20.41329488870116
2                        115                      1.5                      22.023039242525044
2.5                      115                      1.5                      22.745612660981493
3                        115                      1.5                      22.93907820658835
3.5                      115                      1.5                      22.813932437682823
4                        115                      1.5                      22.496551575097428
4.5                      115                      1.5                      22.066049990467732
5                        115                      1.5                      21.57387934379871
1                        120                      1.5                      17.573168252955057
1.5                      120                      1.5                      20.87932874882305
2                        120                      1.5                      22.61959627737896
2.5                      120                      1.5                      23.44003326112491
3                        120                      1.5                      23.70306615117724
3.5                      120                      1.5                      23.622996533602574
4                        120                      1.5                      23.335463400639924
4.5                      120                      1.5                      22.92017132774474
5                        120                      1.5                      22.43220258577972
1                        125                      1.5                      17.860022633649436
1.5                      125                      1.5                      21.330556943955564
2                        125                      1.5                      23.202232446794554
2.5                      125                      1.5                      24.12212553567518
3                        125                      1.5                      24.456091017172668
3.5                      125                      1.5                      24.427066548575425
4                        125                      1.5                      24.171867781831793
4.5                      125                      1.5                      23.7743561302144
5                        125                      1.5                      23.29541352369293
1                        130                      1.5                      18.137102181480607
1.5                      130                      1.5                      21.768310891517835
2                        130                      1.5                      23.770174151651545
2.5                      130                      1.5                      24.790396608444283
3                        130                      1.5                      25.199285008822827
3.5                      130                      1.5                      25.222313419240947
4                        130                      1.5                      25.002180439226024
4.5                      130                      1.5                      24.627980395530784
5                        130                      1.5                      24.158382173112017
1                        135                      1.5                      18.402574523924677
1.5                      135                      1.5                      22.191901867629987
2                        135                      1.5                      24.325452219693332
2.5                      135                      1.5                      25.446977654520794
3                        135                      1.5                      25.93232718739661
3.5                      135                      1.5                      26.01114059539364
4                        135                      1.5                      25.827538413283662
4.5                      135                      1.5                      25.476519377167605
5                        135                      1.5                      25.022230974141067
1                        140                      1.5                      18.65805546643201
1.5                      140                      1.5                      22.603048623020086
2                        140                      1.5                      24.866708037028815
2.5                      140                      1.5                      26.091081910378534
3                        140                      1.5                      26.65492276839018
3.5                      140                      1.5                      26.790652334377157
4                        140                      1.5                      26.649041927453723
4.5                      140                      1.5                      26.326765092683004
5                        140                      1.5                      25.888041078880377
1                        145                      1.5                      18.90412795060071
1.5                      145                      1.5                      23.001659375035366
2                        145                      1.5                      25.394228413239546
2.5                      145                      1.5                      26.723216711390734
3                        145                      1.5                      27.36626215342507
3.5                      145                      1.5                      27.562565460737062
4                        145                      1.5                      27.46386251356398
4.5                      145                      1.5                      27.17074014943489
5                        145                      1.5                      26.7509833731352
1                        150                      1.5                      19.140835136651127
1.5                      150                      1.5                      23.38834576244397
2                        150                      1.5                      25.909378546484533
2.5                      150                      1.5                      27.34190050697059
3                        150                      1.5                      28.06747785835188
3.5                      150                      1.5                      28.32506056645633
4                        150                      1.5                      28.270798007920348
4.5                      150                      1.5                      28.01149347646148
5                        150                      1.5                      27.61296716539701
1                        155                      1.5                      19.36977296612843
1.5                      155                      1.5                      23.76393360348237
2                        155                      1.5                      26.412575942744127
2.5                      155                      1.5                      27.94900663325963
3                        155                      1.5                      28.75651485571366
3.5                      155                      1.5                      29.07705722978551
4                        155                      1.5                      29.07178943201893
4.5                      155                      1.5                      28.84749657052636
5                        155                      1.5                      28.473255900553397
1                        160                      1.5                      19.589995038207718
1.5                      160                      1.5                      24.12728146558164
2                        160                      1.5                      26.903061354400748
2.5                      160                      1.5                      28.543276445463476
3                        160                      1.5                      29.43590847560536
3.5                      160                      1.5                      29.82161953842973
4                        160                      1.5                      29.865029745768226
4.5                      160                      1.5                      29.676665168574175
5                        160                      1.5                      29.326752883632594
1                        165                      1.5                      19.802784271777114
1.5                      165                      1.5                      24.48158588056036
2                        165                      1.5                      27.38173583687299
2.5                      165                      1.5                      29.12644061783729
3                        165                      1.5                      30.102650282073597
3.5                      165                      1.5                      30.55687487580073
4                        165                      1.5                      30.650543468999885
4.5                      165                      1.5                      30.498567927390184
5                        165                      1.5                      30.177801840080406
1                        170                      1.5                      20.007702440742015
1.5                      170                      1.5                      24.82431728996675
2                        170                      1.5                      27.8474779439171
2.5                      170                      1.5                      29.698292005232176
3                        170                      1.5                      30.758926365996928
3.5                      170                      1.5                      31.279853936761597
4                        170                      1.5                      31.427586415161883
4.5                      170                      1.5                      31.315657988495616
5                        170                      1.5                      31.0207116991117
1                        175                      1.5                      20.206558692522265
1.5                      175                      1.5                      25.158375684485293
2                        175                      1.5                      28.30410565480986
2.5                      175                      1.5                      30.258638021335855
3                        175                      1.5                      31.404945758444754
3.5                      175                      1.5                      31.994927359922457
4                        175                      1.5                      32.19603939306974
4.5                      175                      1.5                      32.125966632879454
5                        175                      1.5                      31.86471280142203
1                        180                      1.5                      20.39732480626087
1.5                      180                      1.5                      25.483563814289006
2                        180                      1.5                      28.749763102012835
2.5                      180                      1.5                      30.807583797988173
3                        180                      1.5                      32.03890929314393
3.5                      180                      1.5                      32.69969049345734
4                        180                      1.5                      32.957936711975805
4.5                      180                      1.5                      32.929879792546956
5                        180                      1.5                      32.7013697561224
1                        185                      1.5                      20.58300273618959
1.5                      185                      1.5                      25.796991072183722
2                        185                      1.5                      29.18425929954678
2.5                      185                      1.5                      31.34542938648424
3                        185                      1.5                      32.66459135256825
3.5                      185                      1.5                      33.39356880768955
4                        185                      1.5                      33.70852793183097
4.5                      185                      1.5                      33.72598688169796
5                        185                      1.5                      33.53197474120566
1                        190                      1.5                      20.762655467039494
1.5                      190                      1.5                      26.103849051136294
2                        190                      1.5                      29.608552767505202
2.5                      190                      1.5                      31.873005158923007
3                        190                      1.5                      33.27654544204211
3.5                      190                      1.5                      34.079891595646146
4                        190                      1.5                      34.45003144397728
4.5                      190                      1.5                      34.51657400741513
5                        190                      1.5                      34.358496754990824
1                        195                      1.5                      20.935886837140337
1.5                      195                      1.5                      26.40152943696763
2                        195                      1.5                      30.023257487228918
2.5                      195                      1.5                      32.38899856268375
3                        195                      1.5                      33.88341651376908
3.5                      195                      1.5                      34.75587557669802
4                        195                      1.5                      35.18572931911041
4.5                      195                      1.5                      35.29637053615414
5                        195                      1.5                      35.17317385892599
1                        200                      1.5                      21.10421846494325
1.5                      200                      1.5                      26.69152003178057
2                        200                      1.5                      30.427587842179676
2.5                      200                      1.5                      32.89537112437576
3                        200                      1.5                      34.47474122350992
3.5                      200                      1.5                      35.42122574060831
4                        200                      1.5                      35.91033084640783
4.5                      200                      1.5                      36.06989152014077
5                        200                      1.5                      35.987456713722
1                        205                      1.5                      21.266285452540053
1.5                      205                      1.5                      26.973708128842368
2                        205                      1.5                      30.823294214117382
2.5                      205                      1.5                      33.392217178816864
3                        205                      1.5                      35.057544570875706
3.5                      205                      1.5                      36.07725492435013
