% Model:              Моделирование_мозга_сфера - 3.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 24 2025, 15:59
% Table:              Table 5 - MN
% rho_brain (Ω*m)        rho_scull (Ω*m)          rho_skin (Ω*m)           V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1
1                        65                       4.5                      141.13493134853914       99.16910601768386        253.8748882794651
1                        65                       5                        143.60982677727833       102.81323582513113       276.58310892761125
1                        70                       1                        85.2370313631605         43.782661151036294       67.09502996278358
1                        70                       1.5                      104.09965074166223       58.04432618071225        97.88111056279118
1                        70                       2                        117.44966053646411       69.51141958193813        127.22553679309931
1                        70                       2.5                      127.35224809328784       78.92074017239696        155.29970389272944
1                        70                       3                        134.90991378163034       86.7490874578204         182.23381019834977
1                        70                       3.5                      140.78299094060202       93.32771065220555        208.13210109754868
1                        70                       4                        145.39980741575226       98.89709503002808        233.08080493547234
1                        70                       4.5                      149.05174246736993       103.63888292679206       257.15337659794466
1                        70                       5                        151.9477781758516        107.69324039137584       280.412777067243
1                        75                       1                        87.67558956341725        44.528400432684926       67.35216982065535
1                        75                       1.5                      107.65434293382884       59.31958578180712        98.39262418741995
1                        75                       2                        121.95131119277181       71.32533222564226        128.04917006414775
1                        75                       2.5                      132.66540246963132       81.26208433405944        156.4823095490862
1                        75                       3                        140.92619640813035       89.59729431737945        183.81422113153496
1                        75                       3.5                      147.4138598765548        96.6575708272008         210.14290892965693
1                        75                       4                        152.5709075320873        102.68199983422099       235.54966363701487
1                        75                       4.5                      156.70075920418765       107.85129572004803       260.1035901253384
1                        75                       5                        160.02080966147102       112.30562407666392       283.8641635995625
1                        80                       1                        89.9698804327981         45.21207830290106        67.58199155461296
1                        80                       1.5                      111.02351662220508       60.49600296311622        98.85096458450764
1                        80                       2                        126.24032178632993       73.0070191427593         128.78873298259202
1                        80                       2.5                      137.74791330202282       83.44288184752769        157.54621016993502
1                        80                       3                        146.7003160782392        92.26073812778311        185.23850157948658
1                        80                       3.5                      153.79537487740402       99.78275656762796        211.95811624944827
1                        80                       4                        159.4893207838513        106.24542444274923       237.78167852554776
1                        80                       4.5                      164.09629979897937       111.82909543713245       262.7746856134792
1                        80                       5                        167.84344698325137       116.67417361708164       286.99365264369044
1                        85                       1                        92.13377112386651        45.84137148699424        67.78877524762257
1                        85                       1.5                      114.22402555213408       61.585275251638386       99.26428588437888
1                        85                       2                        130.33366253811187       74.57226860115162        129.45696661698503
1                        85                       2.5                      142.61696862003458       85.48032348597218        158.50917006447588
1                        85                       3                        152.24840579220094       94.75862432394283        186.52972886736072
1                        85                       3.5                      159.94440111443922       102.72309570028632       213.6060990303098
1                        85                       4                        166.17154992278859       109.60818358065103       239.81111845284477
1                        85                       4.5                      171.2548698397634        115.59322637060555       265.20648176839825
1                        85                       5                        175.42842344159845       120.81844666145048       289.8463057594231
1                        90                       1                        94.17955586502441        46.42310897808383        67.97591512231122
1                        90                       1.5                      117.26987938012955       62.59752070626392        99.6391544122347
1                        90                       2                        134.24758510107495       76.03270663779843        130.0640074923854
1                        90                       2.5                      147.28932595109453       87.38919068245684        159.38539292895652
1                        90                       3                        157.58834586733          97.10622326364525        187.70645472645106
1                        90                       3.5                      165.8755852813402        105.49485587715223       215.11001349079487
1                        90                       4                        172.63088210392016       112.78783982461113       241.6650924009457
1                        90                       4.5                      178.1882699576903        119.16183115123161       267.430934899127
1                        90                       5                        182.78839717515933       124.75666419330116       292.4586937353354
1                        95                       1                        96.11775506833678        46.96264410922044        68.14617724598943
1                        95                       1.5                      120.17368654209426       63.54125104818101        99.98084672694225
1                        95                       2                        137.99588209256368       77.39990430641143        130.61832726298854
1                        95                       2.5                      151.7783714492426        89.18225835409451        160.1866574518441
1                        95                       3                        162.73383977038907       99.31870363146516        188.7837017268323
1                        95                       3.5                      171.60393153596488       108.1147355130096        216.48848976100118
1                        95                       4                        178.88294311880395       115.79952939299096       243.36681885580032
